Group 2,Area,Rotation,FTE,A trained,Skill,Transfer,Adv Role,Restrictions,IV,Fixed Requests,Flexible Requests
RN25,C,A02,1,Yes,4,,,,,,
RN26,D,AB05,1,,3,,,,,,
RN27,F,B4+5,0.75,yes,4,,,,,,
RN28,C,B02,0.51,Yes,5,,Code,,,,
RN29,F,A05,1,Yes,5,,Charge,,,,
RN30,D,B03,1,Yes,5,,Charge,,,,
RN31,C,A04,1,,4,,,,,,
RN32,C,B04,1,,5,Yes,,,,,
RN33,E,B1+2,1,Yes,5,,Support,,,,
RN34,F,B06,1,Yes,4,,,,,,
RN35,E,A03,1,Yes,5,Yes,Support,,,,
RN36,D,AB05,1,,4,,,,,,
RN37,F,AB06,1,,,,,,,,
RN38,E,B05,1,Yes,5,,Support,,,,
RN39,E,A04,,Yes,4,,,,,,
RN40,C,B03,1,,4,Yes,,,,,
RN41,C,B04,1,Yes,5,,Charge,,,,
RN42,E,B03,1,Yes,5,,Charge,,,,
RN43,C,B06,1,Yes,5,,Charge,,Yes,,
RN44,E,A05,0.51,Yes,4,,,,,,
RN45,C,A06,1,Yes,4,,,,,,
RN46,D,B02,1,Yes,5,,,,,,
RN47,F,B06,0.51,Yes,5,,Support,,,,
RN48,E,A01,1,Yes,5,Yes,Charge,,Yes,,
RN49,D,B03,1,yes,5,,Charge,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Constraints,Soft,Soft,N/A,Hard,Hard,Hard,Hard,Soft w/Alert,Soft,Soft,Soft